"Показатель","ДЭБ","ДИБ","ДАФ","ДБПиО","Москва","Белгородская область","Брянская область","Владимирская область","Воронежская область","Ивановская область","Калужская область","Костромская область","Курская область","Липецкая область","Орловская область","Рязанская область","Смоленская область","Тамбовская область","Тверская область","Тульская область","Ярославская область","Санкт-Петербург","Вологодская область","Калининградская область","Мурманская область","Новгородская область","Псковская область","Республика Карелия","Республика Коми","Архангельская область","Кировская область","Оренбургская область","Самарская область","Саратовская область","Нижегородская область","Пензенская область","Пермский край","Республика Башкортостан","Республика Марий Эл","Республика Мордовия","Республика Татарстан","Удмуртская Республика","Ульяновская область","Чувашская Республика","Краснодар","Сочи","Новороссийск","Ростов","Ставрополь","Волгоград","Астрахань","Алания","Ингушетия","КБР","КЧР","Дагестан","Чечня","Свердловская область","ХМАО-Югра","Челябинская область","Тюменская область","Курган","ЯНАО","Новосибирская область","Омская область","Томская область","Алтайский край","Республика Алтай","Красноярский край","Кемеровская область","Республика Хакасия","Республика Тыва","Иркутская область","Хабаровский край","Приморский край","Амурская область","Магаданская область","Республика Саха (Якутия)","Камчатский край","Сахалинская область","Забайкальский край","Республика Бурятия","Итого ПАО МТС"
"сотрудниками ПБ ДЗК/ДЗО",13,82,54,26,95,67,39,11,80,52,24,93,65,37,9,78,50,22,91,63,35,7,76,48,20,89,61,33,5,74,46,18,87,59,31,3,72,44,16,85,57,29,1,70,42,14,83,55,27,96,68,40,12,81,53,25,94,66,38,10,79,51,23,92,64,36,8,77,49,21,90,62,34,6,75,47,19,88,60,32,4,73,4011
"совместно с сотрудниками правоохранительных органов",16,86,59,32,5,75,48,21,91,64,37,10,80,53,26,96,69,42,15,85,58,31,4,74,47,20,90,63,36,9,79,52,25,95,68,41,14,84,57,30,3,73,46,19,89,62,35,8,78,51,24,94,67,40,13,83,56,29,2,72,45,18,88,61,34,7,77,50,23,93,66,39,12,82,55,28,1,71,44,17,87,60,3989
"Проведено АТУ и АТТ на объектах",19,90,64,38,12,83,57,31,5,76,50,24,95,69,43,17,88,62,36,10,81,55,29,3,74,48,22,93,67,41,15,86,60,34,8,79,53,27,1,72,46,20,91,65,39,13,84,58,32,6,77,51,25,96,70,44,18,89,63,37,11,82,56,30,4,75,49,23,94,68,42,16,87,61,35,9,80,54,28,2,73,47,3967
"сотрудниками ПБ ДЗК/ДЗО",22,94,69,44,19,91,66,41,16,88,63,38,13,85,60,35,10,82,57,32,7,79,54,29,4,76,51,26,1,73,48,23,95,70,45,20,92,67,42,17,89,64,39,14,86,61,36,11,83,58,33,8,80,55,30,5,77,52,27,2,74,49,24,96,71,46,21,93,68,43,18,90,65,40,15,87,62,37,12,84,59,34,4042
"совместно с сотрудниками правоохранительных органов",25,1,74,50,26,2,75,51,27,3,76,52,28,4,77,53,29,5,78,54,30,6,79,55,31,7,80,56,32,8,81,57,33,9,82,58,34,10,83,59,35,11,84,60,36,12,85,61,37,13,86,62,38,14,87,63,39,15,88,64,40,16,89,65,41,17,90,66,42,18,91,67,43,19,92,68,44,20,93,69,45,21,3826
"Проведено проверок несения службы сотрудниками ЧОП/ЧОО",28,5,79,56,33,10,84,61,38,15,89,66,43,20,94,71,48,25,2,76,53,30,7,81,58,35,12,86,63,40,17,91,68,45,22,96,73,50,27,4,78,55,32,9,83,60,37,14,88,65,42,19,93,70,47,24,1,75,52,29,6,80,57,34,11,85,62,39,16,90,67,44,21,95,72,49,26,3,77,54,31,8,3901
"Подготовлено претензий к ЧОП/ЧОО",31,9,84,62,40,18,93,71,49,27,5,80,58,36,14,89,67,45,23,1,76,54,32,10,85,63,41,19,94,72,50,28,6,81,59,37,15,90,68,46,24,2,77,55,33,11,86,64,42,20,95,73,51,29,7,82,60,38,16,91,69,47,25,3,78,56,34,12,87,65,43,21,96,74,52,30,8,83,61,39,17,92,3976
"Проникновение на объект",34,13,89,68,47,26,5,81,60,39,18,94,73,52,31,10,86,65,44,23,2,78,57,36,15,91,70,49,28,7,83,62,41,20,96,75,54,33,12,88,67,46,25,4,80,59,38,17,93,72,51,30,9,85,64,43,22,1,77,56,35,14,90,69,48,27,6,82,61,40,19,95,74,53,32,11,87,66,45,24,3,79,3954
"не предотвращенные",37,17,94,74,54,34,14,91,71,51,31,11,88,68,48,28,8,85,65,45,25,5,82,62,42,22,2,79,59,39,19,96,76,56,36,16,93,73,53,33,13,90,70,50,30,10,87,67,47,27,7,84,64,44,24,4,81,61,41,21,1,78,58,38,18,95,75,55,35,15,92,72,52,32,12,89,69,49,29,9,86,66,4029
"предотвращенные",40,21,2,80,61,42,23,4,82,63,44,25,6,84,65,46,27,8,86,67,48,29,10,88,69,50,31,12,90,71,52,33,14,92,73,54,35,16,94,75,56,37,18,96,77,58,39,20,1,79,60,41,22,3,81,62,43,24,5,83,64,45,26,7,85,66,47,28,9,87,68,49,30,11,89,70,51,32,13,91,72,53,3910
"Задержаны лица при совершении правонарушения",43,25,7,86,68,50,32,14,93,75,57,39,21,3,82,64,46,28,10,89,71,53,35,17,96,78,60,42,24,6,85,67,49,31,13,92,74,56,38,20,2,81,63,45,27,9,88,70,52,34,16,95,77,59,41,23,5,84,66,48,30,12,91,73,55,37,19,1,80,62,44,26,8,87,69,51,33,15,94,76,58,40,3985
"Установлена сумма причиненного ущерба (руб.)",46,29,12,92,75,58,41,24,7,87,70,53,36,19,2,82,65,48,31,14,94,77,60,43,26,9,89,72,55,38,21,4,84,67,50,33,16,96,79,62,45,28,11,91,74,57,40,23,6,86,69,52,35,18,1,81,64,47,30,13,93,76,59,42,25,8,88,71,54,37,20,3,83,66,49,32,15,95,78,61,44,27,3963
"Предотвращен ущерб на сумму (руб.)",49,33,17,1,82,66,50,34,18,2,83,67,51,35,19,3,84,68,52,36,20,4,85,69,53,37,21,5,86,70,54,38,22,6,87,71,55,39,23,7,88,72,56,40,24,8,89,73,57,41,25,9,90,74,58,42,26,10,91,75,59,43,27,11,92,76,60,44,28,12,93,77,61,45,29,13,94,78,62,46,30,14,3844
"Возмещен ущерб на сумму (руб.)",52,37,22,7,89,74,59,44,29,14,96,81,66,51,36,21,6,88,73,58,43,28,13,95,80,65,50,35,20,5,87,72,57,42,27,12,94,79,64,49,34,19,4,86,71,56,41,26,11,93,78,63,48,33,18,3,85,70,55,40,25,10,92,77,62,47,32,17,2,84,69,54,39,24,9,91,76,61,46,31,16,1,3919
"Установлено сотрудников, причастных к проникновению",55,41,27,13,96,82,68,54,40,26,12,95,81,67,53,39,25,11,94,80,66,52,38,24,10,93,79,65,51,37,23,9,92,78,64,50,36,22,8,91,77,63,49,35,21,7,90,76,62,48,34,20,6,89,75,61,47,33,19,5,88,74,60,46,32,18,4,87,73,59,45,31,17,3,86,72,58,44,30,16,2,85,3994
"наложено дисциплинарных взысканий и уволено с работы",58,45,32,19,6,90,77,64,51,38,25,12,96,83,70,57,44,31,18,5,89,76,63,50,37,24,11,95,82,69,56,43,30,17,4,88,75,62,49,36,23,10,94,81,68,55,42,29,16,3,87,74,61,48,35,22,9,93,80,67,54,41,28,15,2,86,73,60,47,34,21,8,92,79,66,53,40,27,14,1,85,72,3972
"уволено с работы",61,49,37,25,13,1,86,74,62,50,38,26,14,2,87,75,63,51,39,27,15,3,88,76,64,52,40,28,16,4,89,77,65,53,41,29,17,5,90,78,66,54,42,30,18,6,91,79,67,55,43,31,19,7,92,80,68,56,44,32,20,8,93,81,69,57,45,33,21,9,94,82,70,58,46,34,22,10,95,83,71,59,3950
"Передано материалов в правоохранительные органы",64,53,42,31,20,9,95,84,73,62,51,40,29,18,7,93,82,71,60,49,38,27,16,5,91,80,69,58,47,36,25,14,3,89,78,67,56,45,34,23,12,1,87,76,65,54,43,32,21,10,96,85,74,63,52,41,30,19,8,94,83,72,61,50,39,28,17,6,92,81,70,59,48,37,26,15,4,90,79,68,57,46,4025
"Возбуждено уголовных дел",67,57,47,37,27,17,7,94,84,74,64,54,44,34,24,14,4,91,81,71,61,51,41,31,21,11,1,88,78,68,58,48,38,28,18,8,95,85,75,65,55,45,35,25,15,5,92,82,72,62,52,42,32,22,12,2,89,79,69,59,49,39,29,19,9,96,86,76,66,56,46,36,26,16,6,93,83,73,63,53,43,33,4003
"Окончено уголовных дел",70,61,52,43,34,25,16,7,95,86,77,68,59,50,41,32,23,14,5,93,84,75,66,57,48,39,30,21,12,3,91,82,73,64,55,46,37,28,19,10,1,89,80,71,62,53,44,35,26,17,8,96,87,78,69,60,51,42,33,24,15,6,94,85,76,67,58,49,40,31,22,13,4,92,83,74,65,56,47,38,29,20,3981
"Нападение на объект/сотрудников (грабеж, разбой)",73,65,57,49,41,33,25,17,9,1,90,82,74,66,58,50,42,34,26,18,10,2,91,83,75,67,59,51,43,35,27,19,11,3,92,84,76,68,60,52,44,36,28,20,12,4,93,85,77,69,61,53,45,37,29,21,13,5,94,86,78,70,62,54,46,38,30,22,14,6,95,87,79,71,63,55,47,39,31,23,15,7,3862
"не предотвращенные",76,69,62,55,48,41,34,27,20,13,6,96,89,82,75,68,61,54,47,40,33,26,19,12,5,95,88,81,74,67,60,53,46,39,32,25,18,11,4,94,87,80,73,66,59,52,45,38,31,24,17,10,3,93,86,79,72,65,58,51,44,37,30,23,16,9,2,92,85,78,71,64,57,50,43,36,29,22,15,8,1,91,3937
"предотвращенные",79,73,67,61,55,49,43,37,31,25,19,13,7,1,92,86,80,74,68,62,56,50,44,38,32,26,20,14,8,2,93,87,81,75,69,63,57,51,45,39,33,27,21,15,9,3,94,88,82,76,70,64,58,52,46,40,34,28,22,16,10,4,95,89,83,77,71,65,59,53,47,41,35,29,23,17,11,5,96,90,84,78,4012
"Задержаны лица при совершении правонарушения (нападение)",82,77,72,67,62,57,52,47,42,37,32,27,22,17,12,7,2,94,89,84,79,74,69,64,59,54,49,44,39,34,29,24,19,14,9,4,96,91,86,81,76,71,66,61,56,51,46,41,36,31,26,21,16,11,6,1,93,88,83,78,73,68,63,58,53,48,43,38,33,28,23,18,13,8,3,95,90,85,80,75,70,65,4087
"Установлена сумма причиненного ущерба (руб.) БПО",85,81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,5,1,94,90,86,82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,6,2,95,91,87,83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,7,3,96,92,88,84,80,76,72,68,64,60,56,52,4162
"Предотвращен ущерб на сумму (руб.) (нападение)",88,85,82,79,76,73,70,67,64,61,58,55,52,49,46,43,40,37,34,31,28,25,22,19,16,13,10,7,4,1,95,92,89,86,83,80,77,74,71,68,65,62,59,56,53,50,47,44,41,38,35,32,29,26,23,20,17,14,11,8,5,2,96,93,90,87,84,81,78,75,72,69,66,63,60,57,54,51,48,45,42,39,4237
"Возмещен ущерб на сумму (руб.) (нападение)",91,89,87,85,83,81,79,77,75,73,71,69,67,65,63,61,59,57,55,53,51,49,47,45,43,41,39,37,35,33,31,29,27,25,23,21,19,17,15,13,11,9,7,5,3,1,96,94,92,90,88,86,84,82,80,78,76,74,72,70,68,66,64,62,60,58,56,54,52,50,48,46,44,42,40,38,36,34,32,30,28,26,4312
"Установлено сотрудников, причастных к проникновению (нападение)",94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,4387
"наложено взысканий (нападение)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"уволено с работы (нападение)",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,3567
"Передано материалов в правоохранительные органы (нападение)",6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,3642
"Возбуждено уголовных дел (нападение)",9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96,2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77,80,83,86,89,92,95,1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,3717
"Окончено уголовных дел (нападение)",12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,2,6,10,14,18,22,26,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,94,1,5,9,13,17,21,25,29,33,37,41,45,3792
"Кража (акт вандализма)",15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,3,8,13,18,23,28,33,38,43,48,53,58,63,68,73,78,83,88,93,1,6,11,16,21,26,31,36,41,46,51,56,61,66,71,76,81,86,91,96,4,9,14,19,24,29,34,39,44,49,54,59,64,69,74,79,84,89,94,2,7,12,17,22,27,32,3867
"не предотвращенные (кражи)",18,24,30,36,42,48,54,60,66,72,78,84,90,96,5,11,17,23,29,35,41,47,53,59,65,71,77,83,89,95,4,10,16,22,28,34,40,46,52,58,64,70,76,82,88,94,3,9,15,21,27,33,39,45,51,57,63,69,75,81,87,93,2,8,14,20,26,32,38,44,50,56,62,68,74,80,86,92,1,7,13,19,3942
"предотвращенные (кражи)",21,28,35,42,49,56,63,70,77,84,91,1,8,15,22,29,36,43,50,57,64,71,78,85,92,2,9,16,23,30,37,44,51,58,65,72,79,86,93,3,10,17,24,31,38,45,52,59,66,73,80,87,94,4,11,18,25,32,39,46,53,60,67,74,81,88,95,5,12,19,26,33,40,47,54,61,68,75,82,89,96,6,4017
"Задержаны лица при совершении правонарушения (кражи)",24,32,40,48,56,64,72,80,88,96,7,15,23,31,39,47,55,63,71,79,87,95,6,14,22,30,38,46,54,62,70,78,86,94,5,13,21,29,37,45,53,61,69,77,85,93,4,12,20,28,36,44,52,60,68,76,84,92,3,11,19,27,35,43,51,59,67,75,83,91,2,10,18,26,34,42,50,58,66,74,82,90,4092
"Установлена сумма причиненного ущерба (руб.) (кражи)",27,36,45,54,63,72,81,90,2,11,20,29,38,47,56,65,74,83,92,4,13,22,31,40,49,58,67,76,85,94,6,15,24,33,42,51,60,69,78,87,96,8,17,26,35,44,53,62,71,80,89,1,10,19,28,37,46,55,64,73,82,91,3,12,21,30,39,48,57,66,75,84,93,5,14,23,32,41,50,59,68,77,3973
"Предотвращен ущерб на сумму (руб.) (кражи)",30,40,50,60,70,80,90,3,13,23,33,43,53,63,73,83,93,6,16,26,36,46,56,66,76,86,96,9,19,29,39,49,59,69,79,89,2,12,22,32,42,52,62,72,82,92,5,15,25,35,45,55,65,75,85,95,8,18,28,38,48,58,68,78,88,1,11,21,31,41,51,61,71,81,91,4,14,24,34,44,54,64,3951
"Возмещен ущерб на сумму (руб.) (кражи)",33,44,55,66,77,88,2,13,24,35,46,57,68,79,90,4,15,26,37,48,59,70,81,92,6,17,28,39,50,61,72,83,94,8,19,30,41,52,63,74,85,96,10,21,32,43,54,65,76,87,1,12,23,34,45,56,67,78,89,3,14,25,36,47,58,69,80,91,5,16,27,38,49,60,71,82,93,7,18,29,40,51,3929
"Установлено сотрудников, причастных к проникновению (кражи)",36,48,60,72,84,96,11,23,35,47,59,71,83,95,10,22,34,46,58,70,82,94,9,21,33,45,57,69,81,93,8,20,32,44,56,68,80,92,7,19,31,43,55,67,79,91,6,18,30,42,54,66,78,90,5,17,29,41,53,65,77,89,4,16,28,40,52,64,76,88,3,15,27,39,51,63,75,87,2,14,26,38,4004
"наложено взысканий (кражи)",39,52,65,78,91,7,20,33,46,59,72,85,1,14,27,40,53,66,79,92,8,21,34,47,60,73,86,2,15,28,41,54,67,80,93,9,22,35,48,61,74,87,3,16,29,42,55,68,81,94,10,23,36,49,62,75,88,4,17,30,43,56,69,82,95,11,24,37,50,63,76,89,5,18,31,44,57,70,83,96,12,25,3982
"уволено с работы (кражи)",42,56,70,84,1,15,29,43,57,71,85,2,16,30,44,58,72,86,3,17,31,45,59,73,87,4,18,32,46,60,74,88,5,19,33,47,61,75,89,6,20,34,48,62,76,90,7,21,35,49,63,77,91,8,22,36,50,64,78,92,9,23,37,51,65,79,93,10,24,38,52,66,80,94,11,25,39,53,67,81,95,12,3960
"Передано материалов в правоохранительные органы (кражи)",45,60,75,90,8,23,38,53,68,83,1,16,31,46,61,76,91,9,24,39,54,69,84,2,17,32,47,62,77,92,10,25,40,55,70,85,3,18,33,48,63,78,93,11,26,41,56,71,86,4,19,34,49,64,79,94,12,27,42,57,72,87,5,20,35,50,65,80,95,13,28,43,58,73,88,6,21,36,51,66,81,96,4035
"Возбуждено уголовных дел (кражи)",48,64,80,96,15,31,47,63,79,95,14,30,46,62,78,94,13,29,45,61,77,93,12,28,44,60,76,92,11,27,43,59,75,91,10,26,42,58,74,90,9,25,41,57,73,89,8,24,40,56,72,88,7,23,39,55,71,87,6,22,38,54,70,86,5,21,37,53,69,85,4,20,36,52,68,84,3,19,35,51,67,83,4110
"Окончено уголовных дел (кражи)",51,68,85,5,22,39,56,73,90,10,27,44,61,78,95,15,32,49,66,83,3,20,37,54,71,88,8,25,42,59,76,93,13,30,47,64,81,1,18,35,52,69,86,6,23,40,57,74,91,11,28,45,62,79,96,16,33,50,67,84,4,21,38,55,72,89,9,26,43,60,77,94,14,31,48,65,82,2,19,36,53,70,3991
"Травмировано",54,72,90,11,29,47,65,83,4,22,40,58,76,94,15,33,51,69,87,8,26,44,62,80,1,19,37,55,73,91,12,30,48,66,84,5,23,41,59,77,95,16,34,52,70,88,9,27,45,63,81,2,20,38,56,74,92,13,31,49,67,85,6,24,42,60,78,96,17,35,53,71,89,10,28,46,64,82,3,21,39,57,3969
"из них сотрудники (травма)",57,76,95,17,36,55,74,93,15,34,53,72,91,13,32,51,70,89,11,30,49,68,87,9,28,47,66,85,7,26,45,64,83,5,24,43,62,81,3,22,41,60,79,1,20,39,58,77,96,18,37,56,75,94,16,35,54,73,92,14,33,52,71,90,12,31,50,69,88,10,29,48,67,86,8,27,46,65,84,6,25,44,4044
"Смертельный исход",60,80,3,23,43,63,83,6,26,46,66,86,9,29,49,69,89,12,32,52,72,92,15,35,55,75,95,18,38,58,78,1,21,41,61,81,4,24,44,64,84,7,27,47,67,87,10,30,50,70,90,13,33,53,73,93,16,36,56,76,96,19,39,59,79,2,22,42,62,82,5,25,45,65,85,8,28,48,68,88,11,31,3925
"из них сотрудники (смертельный исход)",63,84,8,29,50,71,92,16,37,58,79,3,24,45,66,87,11,32,53,74,95,19,40,61,82,6,27,48,69,90,14,35,56,77,1,22,43,64,85,9,30,51,72,93,17,38,59,80,4,25,46,67,88,12,33,54,75,96,20,41,62,83,7,28,49,70,91,15,36,57,78,2,23,44,65,86,10,31,52,73,94,18,4000
"ДТП с участием сотрудников или служебного транспорта",66,88,13,35,57,79,4,26,48,70,92,17,39,61,83,8,30,52,74,96,21,43,65,87,12,34,56,78,3,25,47,69,91,16,38,60,82,7,29,51,73,95,20,42,64,86,11,33,55,77,2,24,46,68,90,15,37,59,81,6,28,50,72,94,19,41,63,85,10,32,54,76,1,23,45,67,89,14,36,58,80,5,3978
"Пожар",69,92,18,41,64,87,13,36,59,82,8,31,54,77,3,26,49,72,95,21,44,67,90,16,39,62,85,11,34,57,80,6,29,52,75,1,24,47,70,93,19,42,65,88,14,37,60,83,9,32,55,78,4,27,50,73,96,22,45,68,91,17,40,63,86,12,35,58,81,7,30,53,76,2,25,48,71,94,20,43,66,89,4053
"Проведено проверок и СР БПиО",72,96,23,47,71,95,22,46,70,94,21,45,69,93,20,44,68,92,19,43,67,91,18,42,66,90,17,41,65,89,16,40,64,88,15,39,63,87,14,38,62,86,13,37,61,85,12,36,60,84,11,35,59,83,10,34,58,82,9,33,57,81,8,32,56,80,7,31,55,79,6,30,54,78,5,29,53,77,4,28,52,76,4128
"в том числе по обращениям на «горячую линию»",75,3,28,53,78,6,31,56,81,9,34,59,84,12,37,62,87,15,40,65,90,18,43,68,93,21,46,71,96,24,49,74,2,27,52,77,5,30,55,80,8,33,58,83,11,36,61,86,14,39,64,89,17,42,67,92,20,45,70,95,23,48,73,1,26,51,76,4,29,54,79,7,32,57,82,10,35,60,85,13,38,63,3912
"Количество категорированных помещений",78,7,33,59,85,14,40,66,92,21,47,73,2,28,54,80,9,35,61,87,16,42,68,94,23,49,75,4,30,56,82,11,37,63,89,18,44,70,96,25,51,77,6,32,58,84,13,39,65,91,20,46,72,1,27,53,79,8,34,60,86,15,41,67,93,22,48,74,3,29,55,81,10,36,62,88,17,43,69,95,24,50,3987
"проведено проверок и служебных расследований по инцидентам ИБ (кол-во)",81,11,38,65,92,22,49,76,6,33,60,87,17,44,71,1,28,55,82,12,39,66,93,23,50,77,7,34,61,88,18,45,72,2,29,56,83,13,40,67,94,24,51,78,8,35,62,89,19,46,73,3,30,57,84,14,41,68,95,25,52,79,9,36,63,90,20,47,74,4,31,58,85,15,42,69,96,26,53,80,10,37,3965
"проведено плановых проверок ИБ (кол-во)",84,15,43,71,2,30,58,86,17,45,73,4,32,60,88,19,47,75,6,34,62,90,21,49,77,8,36,64,92,23,51,79,10,38,66,94,25,53,81,12,40,68,96,27,55,83,14,42,70,1,29,57,85,16,44,72,3,31,59,87,18,46,74,5,33,61,89,20,48,76,7,35,63,91,22,50,78,9,37,65,93,24,3943
"выявлено несоответствий нормативным документам (кол-во)",87,19,48,77,9,38,67,96,28,57,86,18,47,76,8,37,66,95,27,56,85,17,46,75,7,36,65,94,26,55,84,16,45,74,6,35,64,93,25,54,83,15,44,73,5,34,63,92,24,53,82,14,43,72,4,33,62,91,23,52,81,13,42,71,3,32,61,90,22,51,80,12,41,70,2,31,60,89,21,50,79,11,4018
"Меры, принятые к нарушителям",90,23,53,83,16,46,76,9,39,69,2,32,62,92,25,55,85,18,48,78,11,41,71,4,34,64,94,27,57,87,20,50,80,13,43,73,6,36,66,96,29,59,89,22,52,82,15,45,75,8,38,68,1,31,61,91,24,54,84,17,47,77,10,40,70,3,33,63,93,26,56,86,19,49,79,12,42,72,5,35,65,95,3996
"предупреждение (кол-во)",93,27,58,89,23,54,85,19,50,81,15,46,77,11,42,73,7,38,69,3,34,65,96,30,61,92,26,57,88,22,53,84,18,49,80,14,45,76,10,41,72,6,37,68,2,33,64,95,29,60,91,25,56,87,21,52,83,17,48,79,13,44,75,9,40,71,5,36,67,1,32,63,94,28,59,90,24,55,86,20,51,82,4071
"замечание (кол-во)",96,31,63,95,30,62,94,29,61,93,28,60,92,27,59,91,26,58,90,25,57,89,24,56,88,23,55,87,22,54,86,21,53,85,20,52,84,19,51,83,18,50,82,17,49,81,16,48,80,15,47,79,14,46,78,13,45,77,12,44,76,11,43,75,10,42,74,9,41,73,8,40,72,7,39,71,6,38,70,5,37,69,4146
"выговор (кол-во)",2,35,68,4,37,70,6,39,72,8,41,74,10,43,76,12,45,78,14,47,80,16,49,82,18,51,84,20,53,86,22,55,88,24,57,90,26,59,92,28,61,94,30,63,96,32,65,1,34,67,3,36,69,5,38,71,7,40,73,9,42,75,11,44,77,13,46,79,15,48,81,17,50,83,19,52,85,21,54,87,23,56,3833
"увольнение по соответствующим основаниям (кол-во)",5,39,73,10,44,78,15,49,83,20,54,88,25,59,93,30,64,1,35,69,6,40,74,11,45,79,16,50,84,21,55,89,26,60,94,31,65,2,36,70,7,41,75,12,46,80,17,51,85,22,56,90,27,61,95,32,66,3,37,71,8,42,76,13,47,81,18,52,86,23,57,91,28,62,96,33,67,4,38,72,9,43,3908
"Количество согласованных доступов к информационным активам",8,43,78,16,51,86,24,59,94,32,67,5,40,75,13,48,83,21,56,91,29,64,2,37,72,10,45,80,18,53,88,26,61,96,34,69,7,42,77,15,50,85,23,58,93,31,66,4,39,74,12,47,82,20,55,90,28,63,1,36,71,9,44,79,17,52,87,25,60,95,33,68,6,41,76,14,49,84,22,57,92,30,3983
"Подготовлено служебных записок руководству",11,47,83,22,58,94,33,69,8,44,80,19,55,91,30,66,5,41,77,16,52,88,27,63,2,38,74,13,49,85,24,60,96,35,71,10,46,82,21,57,93,32,68,7,43,79,18,54,90,29,65,4,40,76,15,51,87,26,62,1,37,73,12,48,84,23,59,95,34,70,9,45,81,20,56,92,31,67,6,42,78,17,3961
"События и мероприятия, связанные с минимизацией рисков и угроз в информационной сфере",14,51,88,28,65,5,42,79,19,56,93,33,70,10,47,84,24,61,1,38,75,15,52,89,29,66,6,43,80,20,57,94,34,71,11,48,85,25,62,2,39,76,16,53,90,30,67,7,44,81,21,58,95,35,72,12,49,86,26,63,3,40,77,17,54,91,31,68,8,45,82,22,59,96,36,73,13,50,87,27,64,4,3939
"Проведение аудита и контроль защищённости информационной инфраструктуры ИС",17,55,93,34,72,13,51,89,30,68,9,47,85,26,64,5,43,81,22,60,1,39,77,18,56,94,35,73,14,52,90,31,69,10,48,86,27,65,6,44,82,23,61,2,40,78,19,57,95,36,74,15,53,91,32,70,11,49,87,28,66,7,45,83,24,62,3,41,79,20,58,96,37,75,16,54,92,33,71,12,50,88,4014
"Описание статуса и/или результата проводимых работ в рамках данной задачи",20,59,1,40,79,21,60,2,41,80,22,61,3,42,81,23,62,4,43,82,24,63,5,44,83,25,64,6,45,84,26,65,7,46,85,27,66,8,47,86,28,67,9,48,87,29,68,10,49,88,30,69,11,50,89,31,70,12,51,90,32,71,13,52,91,33,72,14,53,92,34,73,15,54,93,35,74,16,55,94,36,75,3895
"Проведено /просканировано (кол-во)",23,63,6,46,86,29,69,12,52,92,35,75,18,58,1,41,81,24,64,7,47,87,30,70,13,53,93,36,76,19,59,2,42,82,25,65,8,48,88,31,71,14,54,94,37,77,20,60,3,43,83,26,66,9,49,89,32,72,15,55,95,38,78,21,61,4,44,84,27,67,10,50,90,33,73,16,56,96,39,79,22,62,3970
"Выявлено уязвимостей (кол-во)",26,67,11,52,93,37,78,22,63,7,48,89,33,74,18,59,3,44,85,29,70,14,55,96,40,81,25,66,10,51,92,36,77,21,62,6,47,88,32,73,17,58,2,43,84,28,69,13,54,95,39,80,24,65,9,50,91,35,76,20,61,5,46,87,31,72,16,57,1,42,83,27,68,12,53,94,38,79,23,64,8,49,3948
"Реализация режима защиты КТ и КИ",29,71,16,58,3,45,87,32,74,19,61,6,48,90,35,77,22,64,9,51,93,38,80,25,67,12,54,96,41,83,28,70,15,57,2,44,86,31,73,18,60,5,47,89,34,76,21,63,8,50,92,37,79,24,66,11,53,95,40,82,27,69,14,56,1,43,85,30,72,17,59,4,46,88,33,75,20,62,7,49,91,36,3926
"Зарегистрировано конфиденциальных документов (кол-во)",32,75,21,64,10,53,96,42,85,31,74,20,63,9,52,95,41,84,30,73,19,62,8,51,94,40,83,29,72,18,61,7,50,93,39,82,28,71,17,60,6,49,92,38,81,27,70,16,59,5,48,91,37,80,26,69,15,58,4,47,90,36,79,25,68,14,57,3,46,89,35,78,24,67,13,56,2,45,88,34,77,23,4001
